Visits,VisitTime,TotalTime,Game,Advertising
0,0,0,Police,Yes
1,0.76,0.76,Police,Yes
0,0,0,Police,Yes
0,0,0,Police,No
0,0,0,Police,No
0,0,0,Police,No
0,0,0,Police,No
0,0,0,Police,No
0,0,0,Police,No
0,0,0,Police,No
6,1.33,7.95,Police,Yes
5,2.98,14.9,Police,Yes
0,0,0,Police,Yes
7,2.4,16.83,Police,Yes
0,0,0,Police,Yes
0,0,0,Police,Yes
1,0.82,0.82,Police,Yes
8,1.93,15.45,Police,Yes
3,1.33,3.99,Police,No
0,0,0,Police,No
0,0,0,Police,No
0,0,0,Police,No
1,1.68,1.68,Theif,Yes
1,0.67,0.67,Theif,Yes
0,0,0,Theif,Yes
1,1.16,1.16,Theif,No
0,0,0,Theif,No
1,2.88,2.88,Theif,No
0,0,0,Theif,No
0,0,0,Theif,No
0,0,0,Theif,No
0,0,0,Theif,No
8,1,7.97,Theif,Yes
3,1.41,4.22,Theif,Yes
0,0,0,Theif,Yes
10,2.85,28.45,Theif,Yes
0,0,0,Theif,Yes
1,4.44,4.44,Theif,Yes
1,1.23,1.23,Theif,Yes
6,2.15,12.89,Theif,Yes
0,0,0,Theif,No
0,0,0,Theif,No
0,0,0,Theif,No
0,0,0,Theif,No